1908 [Forwarding get on session f4c9e1092ac495789d26af447e29c651 to remote] DEBUG org.apache.http.impl.execchain.MainClientExec:260  - Target auth state: UNCHALLENGED
1909 [Forwarding get on session f4c9e1092ac495789d26af447e29c651 to remote] DEBUG org.apache.http.impl.execchain.MainClientExec:266  - Proxy auth state: UNCHALLENGED
1909 [Forwarding get on session f4c9e1092ac495789d26af447e29c651 to remote] DEBUG org.apache.http.headers:135  - http-outgoing-1 >> POST /session/f4c9e1092ac495789d26af447e29c651/url HTTP/1.1
1910 [Forwarding get on session f4c9e1092ac495789d26af447e29c651 to remote] DEBUG org.apache.http.headers:138  - http-outgoing-1 >> Content-Type: application/json; charset=utf-8
1911 [Forwarding get on session f4c9e1092ac495789d26af447e29c651 to remote] DEBUG org.apache.http.headers:138  - http-outgoing-1 >> Content-Length: 50
1911 [Forwarding get on session f4c9e1092ac495789d26af447e29c651 to remote] DEBUG org.apache.http.headers:138  - http-outgoing-1 >> Host: localhost:35803
1912 [Forwarding get on session f4c9e1092ac495789d26af447e29c651 to remote] DEBUG org.apache.http.headers:138  - http-outgoing-1 >> Connection: Keep-Alive
1912 [Forwarding get on session f4c9e1092ac495789d26af447e29c651 to remote] DEBUG org.apache.http.headers:138  - http-outgoing-1 >> User-Agent: Apache-HttpClient/4.5.2 (Java/1.8.0_111)
1913 [Forwarding get on session f4c9e1092ac495789d26af447e29c651 to remote] DEBUG org.apache.http.headers:138  - http-outgoing-1 >> Accept-Encoding: gzip,deflate
1914 [Forwarding get on session f4c9e1092ac495789d26af447e29c651 to remote] DEBUG org.apache.http.wire:72  - http-outgoing-1 >> "POST /session/f4c9e1092ac495789d26af447e29c651/url HTTP/1.1[\r][\n]"
1915 [Forwarding get on session f4c9e1092ac495789d26af447e29c651 to remote] DEBUG org.apache.http.wire:72  - http-outgoing-1 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
1915 [Forwarding get on session f4c9e1092ac495789d26af447e29c651 to remote] DEBUG org.apache.http.wire:72  - http-outgoing-1 >> "Content-Length: 50[\r][\n]"
1916 [Forwarding get on session f4c9e1092ac495789d26af447e29c651 to remote] DEBUG org.apache.http.wire:72  - http-outgoing-1 >> "Host: localhost:35803[\r][\n]"
1917 [Forwarding get on session f4c9e1092ac495789d26af447e29c651 to remote] DEBUG org.apache.http.wire:72  - http-outgoing-1 >> "Connection: Keep-Alive[\r][\n]"
1917 [Forwarding get on session f4c9e1092ac495789d26af447e29c651 to remote] DEBUG org.apache.http.wire:72  - http-outgoing-1 >> "User-Agent: Apache-HttpClient/4.5.2 (Java/1.8.0_111)[\r][\n]"
